k_neighbors,successful_events,total_tokens,avg_tokens_per_event,total_events
0,15,136014,9067.6,15
1,15,936672,62444.8,15
2,15,2079142,138609.46666666667,15
3,15,2942448,196163.2,15
4,15,3446012,229734.13333333333,15
5,15,3729218,248614.53333333333,15
