k_neighbors,successful_events,total_tokens,avg_tokens_per_event,total_events
0,15,170925,11395.0,15
1,15,2162242,144149.46666666667,15
2,15,2162875,144191.66666666666,15
3,15,2162710,144180.66666666666,15
4,15,2162891,144192.73333333334,15
5,15,2162633,144175.53333333333,15
